"X","Y"
1,20.7
2,17.9
3,18.8
4,14.6
5,15.8
6,15.8
7,15.8
8,17.4
9,21.8
10,20.0
11,16.2
12,13.3
13,16.7
14,21.5
15,25.0
16,20.7
17,20.6
18,24.8
19,17.7
20,15.5
21,18.2
22,12.1
23,14.4
24,16.0
25,16.5
26,18.7
27,19.4
28,17.2
29,15.5
30,15.1
31,15.4
32,15.3
33,18.8
34,21.9
35,19.9
36,16.6
37,16.8
38,14.6
39,17.1
40,25.0
41,15.0
42,13.7
43,13.9
44,18.3
45,22.0
46,22.1
47,21.2
48,18.4
49,16.6
50,16.1
51,15.7
52,16.6
53,16.5
54,14.4
55,14.4
56,18.5
57,16.9
58,17.5
59,21.2
60,17.8
61,18.6
62,17.0
63,16.0
64,13.3
65,14.3
66,11.4
67,16.3
68,16.1
69,11.8
70,12.2
71,14.7
72,11.8
73,11.3
74,10.6
75,11.7
76,14.2
77,11.2
78,16.9
79,16.7
80,8.1
81,8.0
82,8.8
83,13.4
84,10.9
85,13.4
86,11.0
87,15.0
88,15.7
89,14.5
90,15.8
91,16.7
92,16.8
93,17.5
94,17.1
95,18.1
96,16.6
97,10.0
98,14.9
99,15.9
100,13.0
101,7.6
102,11.5
103,13.5
104,13.0
105,13.3
106,12.1
107,12.4
108,13.2
109,13.8
110,10.6
111,9.0
112,10.0
113,9.8
114,11.5
115,8.9
116,7.4
117,9.9
118,9.3
119,9.9
120,7.4
121,8.6
122,11.9
123,14.0
124,8.6
125,10.0
126,13.5
127,12.0
128,10.5
129,10.7
130,8.1
131,10.1
132,10.6
133,5.3
134,6.6
135,8.5
136,11.2
137,9.8
138,5.9
139,3.2
140,2.1
141,3.4
142,5.4
143,9.6
144,11.5
145,12.3
146,12.6
147,11.0
148,11.2
149,11.4
150,11.8
151,12.8
152,11.6
153,10.6
154,9.8
155,11.2
156,5.7
157,7.1
158,2.5
159,3.5
160,4.6
161,11.0
162,5.7
163,7.7
164,10.4
165,11.4
166,9.2
167,6.1
168,2.7
169,4.3
170,6.3
171,3.8
172,4.4
173,7.1
174,4.8
175,5.8
176,6.2
177,7.3
178,9.2
179,10.2
180,9.5
181,9.5
182,10.7
183,10.0
184,6.5
185,7.0
186,7.4
187,8.1
188,6.6
189,8.3
190,8.9
191,4.6
192,6.8
193,5.7
194,6.1
195,7.0
196,7.2
197,6.3
198,8.8
199,5.0
200,7.4
201,10.1
202,12.0
203,9.0
204,8.9
205,9.8
206,9.0
207,9.2
208,7.7
209,8.0
210,6.1
211,3.5
212,3.2
213,5.7
214,7.7
215,9.0
216,10.0
217,6.2
218,6.9
219,6.5
220,6.8
221,7.0
222,5.2
223,3.0
224,5.6
225,7.9
226,9.0
227,8.6
228,10.3
229,10.5
230,7.6
231,9.7
232,12.5
233,7.4
234,7.9
235,3.9
236,6.6
237,4.6
238,7.0
239,6.0
240,5.5
241,8.1
242,5.5
243,6.2
244,8.0
245,10.3
246,9.8
247,9.6
248,8.5
249,7.5
250,11.2
251,14.6
252,11.7
253,7.8
254,12.3
255,10.1
256,11.5
257,7.3
258,10.9
259,14.1
260,10.7
261,16.9
262,10.5
263,6.5
264,11.0
265,6.3
266,10.5
267,7.2
268,7.6
269,10.7
270,7.8
271,9.6
272,11.4
273,12.4
274,8.9
275,13.2
276,8.6
277,6.2
278,11.4
279,13.2
280,14.3
281,7.3
282,12.9
283,7.8
284,6.2
285,5.6
286,10.0
287,13.3
288,8.3
289,10.2
290,8.6
291,7.3
292,10.4
293,11.2
294,13.2
295,11.4
296,9.1
297,6.6
298,8.4
299,9.7
300,13.2
301,12.5
302,11.0
303,11.0
304,11.7
305,9.2
306,11.5
307,13.6
308,13.7
309,10.4
310,11.5
311,7.6
312,9.6
313,14.2
314,15.7
315,10.5
316,10.5
317,9.7
318,9.5
319,11.3
320,8.9
321,9.4
322,11.9
323,11.7
324,13.4
325,12.6
326,10.1
327,15.8
328,13.6
329,11.9
330,9.9
331,12.6
332,17.8
333,15.0
334,13.6
335,13.4
336,10.5
337,14.2
338,11.5
339,13.0
340,15.0
341,14.7
342,12.6
343,12.5
344,13.5
345,14.8
346,17.2
347,9.7
348,12.1
349,12.8
350,11.2
351,16.4
352,15.6
353,13.3
354,11.0
355,11.1
356,15.0
357,12.8
358,15.0
359,14.2
360,14.0
361,15.5
362,13.3
363,15.6
364,15.2
365,17.4
